epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0713,1.02684,3.50357,1.49189,0.38766,0.54043,0.4679,0.39604,0.69974,2.13501,1.2485,0.000109832,0.000109832,0.000109832
2,118.822,0.93247,2.2307,1.34572,0.46853,0.74056,0.70177,0.54792,0.92231,1.74564,1.49016,0.000219374,0.000219374,0.000219374
3,176.573,0.9324,1.93164,1.32501,0.39516,0.65767,0.56281,0.3839,1.21597,2.37247,1.66605,0.000327451,0.000327451,0.000327451
4,233.748,0.96236,1.88608,1.36303,0.51365,0.65333,0.66167,0.51939,0.8832,1.60219,1.36267,0.000326407,0.000326407,0.000326407
5,290.738,0.92982,1.75844,1.32073,0.546,0.56638,0.6662,0.51527,1.0293,1.80993,1.48801,0.000324209,0.000324209,0.000324209
6,347.945,0.92812,1.58247,1.31234,0.55062,0.72941,0.76053,0.60041,0.90533,1.27727,1.37808,0.000322011,0.000322011,0.000322011
7,405.328,0.8595,1.483,1.26614,0.70864,0.70789,0.82974,0.6327,1.02245,1.18682,1.4712,0.000319813,0.000319813,0.000319813
8,462.745,0.89168,1.50068,1.29544,0.69756,0.78708,0.86504,0.67551,0.92922,0.93683,1.38554,0.000317615,0.000317615,0.000317615
9,520.015,0.85917,1.38256,1.2634,0.73296,0.75908,0.8209,0.66691,0.8458,1.08647,1.31981,0.000315418,0.000315418,0.000315418
10,577.147,0.84612,1.35011,1.2659,0.69796,0.77817,0.85267,0.68086,0.83137,1.01025,1.28247,0.00031322,0.00031322,0.00031322
11,634.446,0.80046,1.23135,1.22746,0.8271,0.80815,0.89059,0.67687,0.9979,0.8981,1.44638,0.000311022,0.000311022,0.000311022
12,691.629,0.79993,1.2154,1.22801,0.71629,0.79184,0.86274,0.70273,0.78135,0.99444,1.2255,0.000308824,0.000308824,0.000308824
13,748.938,0.8548,1.2474,1.26283,0.79934,0.82036,0.89116,0.69169,0.94668,0.88208,1.35222,0.000306626,0.000306626,0.000306626
14,805.897,0.79604,1.16229,1.22566,0.78375,0.80348,0.90025,0.7194,0.91364,0.84687,1.35672,0.000304429,0.000304429,0.000304429
15,863.178,0.80368,1.17334,1.23201,0.86055,0.7859,0.88485,0.72943,0.78795,0.87244,1.22984,0.000302231,0.000302231,0.000302231
16,920.517,0.77172,1.12579,1.20061,0.81623,0.79439,0.90811,0.7511,0.7755,0.72611,1.2195,0.000300033,0.000300033,0.000300033
17,977.807,0.75661,1.0836,1.19676,0.79359,0.84819,0.91202,0.77271,0.71519,0.74782,1.17652,0.000297835,0.000297835,0.000297835
18,1035.13,0.77723,1.13133,1.21068,0.83866,0.8156,0.92263,0.74429,0.86882,0.79978,1.31388,0.000295637,0.000295637,0.000295637
19,1092.15,0.75332,1.03866,1.18203,0.7824,0.78558,0.88262,0.69172,0.92582,0.83565,1.35315,0.00029344,0.00029344,0.00029344
20,1149.33,0.76382,1.04578,1.19124,0.87055,0.86404,0.9329,0.7667,0.78743,0.6504,1.24368,0.000291242,0.000291242,0.000291242
21,1206.59,0.76624,1.01472,1.19447,0.85719,0.83817,0.92331,0.7406,0.86291,0.6712,1.27195,0.000289044,0.000289044,0.000289044
22,1263.62,0.7609,1.00707,1.19781,0.86687,0.82469,0.90716,0.7097,0.98229,0.77747,1.40278,0.000286846,0.000286846,0.000286846
23,1320.61,0.74085,0.9639,1.1801,0.83391,0.91751,0.95533,0.77313,0.87936,0.55937,1.28048,0.000284648,0.000284648,0.000284648
24,1377.82,0.73578,0.98732,1.18082,0.88638,0.83668,0.9417,0.76957,0.81148,0.63824,1.28342,0.000282451,0.000282451,0.000282451
25,1434.86,0.72702,0.93292,1.17339,0.85011,0.85132,0.93131,0.72463,0.95155,0.60637,1.3983,0.000280253,0.000280253,0.000280253
26,1492,0.72417,0.94258,1.17505,0.86214,0.83529,0.93594,0.74103,0.93583,0.62661,1.37412,0.000278055,0.000278055,0.000278055
27,1548.86,0.70603,0.91058,1.16383,0.81994,0.89629,0.93773,0.75894,0.84367,0.6438,1.26415,0.000275857,0.000275857,0.000275857
28,1605.92,0.72474,0.91398,1.17293,0.82752,0.8655,0.94139,0.76198,0.8779,0.6149,1.315,0.000273659,0.000273659,0.000273659
29,1663.04,0.69254,0.86528,1.14352,0.90663,0.87813,0.94494,0.76186,0.8819,0.59457,1.31468,0.000271462,0.000271462,0.000271462
30,1720.14,0.69286,0.84318,1.14915,0.94125,0.87979,0.97076,0.79523,0.8045,0.54933,1.25407,0.000269264,0.000269264,0.000269264
31,1777.25,0.71063,0.84889,1.16153,0.867,0.88708,0.9407,0.78858,0.7393,0.56011,1.17589,0.000267066,0.000267066,0.000267066
32,1834.38,0.68468,0.82532,1.14263,0.86466,0.86572,0.93514,0.75136,0.90953,0.60077,1.35373,0.000264868,0.000264868,0.000264868
33,1891.45,0.69855,0.8399,1.15446,0.84939,0.90349,0.94265,0.72952,0.99024,0.65749,1.44225,0.00026267,0.00026267,0.00026267
34,1948.52,0.69358,0.81877,1.14867,0.88939,0.8882,0.93506,0.77467,0.79873,0.58413,1.23243,0.000260473,0.000260473,0.000260473
35,2005.62,0.69377,0.81057,1.1549,0.88373,0.87272,0.94701,0.74322,0.91788,0.63868,1.35015,0.000258275,0.000258275,0.000258275
36,2062.64,0.6956,0.7881,1.14496,0.88422,0.85885,0.93452,0.76243,0.84212,0.6058,1.25653,0.000256077,0.000256077,0.000256077
37,2119.72,0.67839,0.82332,1.14706,0.88672,0.89102,0.95638,0.7729,0.85778,0.54595,1.25114,0.000253879,0.000253879,0.000253879
38,2176.84,0.66476,0.78519,1.12642,0.89525,0.87852,0.95351,0.77122,0.88687,0.5691,1.32818,0.000251681,0.000251681,0.000251681
39,2233.83,0.67681,0.77816,1.14237,0.94704,0.91023,0.96763,0.77552,0.91037,0.50031,1.35269,0.000249484,0.000249484,0.000249484
40,2290.87,0.67734,0.78729,1.1358,0.87202,0.89867,0.9603,0.79933,0.7946,0.53883,1.21838,0.000247286,0.000247286,0.000247286
41,2348.1,0.66746,0.74795,1.12347,0.84165,0.87901,0.95002,0.76906,0.87196,0.59,1.31002,0.000245088,0.000245088,0.000245088
42,2405.18,0.65685,0.71959,1.11956,0.87613,0.89432,0.94609,0.78592,0.80066,0.55535,1.21663,0.00024289,0.00024289,0.00024289
43,2462.19,0.66333,0.72546,1.13613,0.90137,0.86715,0.9512,0.78253,0.79692,0.54014,1.22473,0.000240692,0.000240692,0.000240692
44,2519.21,0.65206,0.71769,1.12219,0.8883,0.85122,0.94802,0.78066,0.8242,0.57505,1.25565,0.000238495,0.000238495,0.000238495
